date,description,amount
10/26/2025,TJMAXX,-247.00
11/20/2025,DUNKIN DONUTS,-153.94
12/24/2025,PANERA BREAD,-207.98
01/18/2025,CVS PHARMACY,-186.43
02/16/2025,ATT WIRELESS,-210.29
03/09/2025,TJMAXX,-122.18
04/08/2025,NETFLIX,-178.96
05/08/2025,VENMO TRANSFER,-223.47
06/03/2025,MCDONALDS,-96.99
07/05/2025,NETFLIX,-104.89
08/11/2025,CHEVRON,-17.44
09/27/2025,KROGER,-236.62
10/01/2025,ALDI,-96.33
11/01/2025,GAS COMPANY,-188.86
12/28/2025,CHEVRON,-135.48
01/24/2025,SAFEWAY,-224.66
02/16/2025,PANERA BREAD,-122.44
03/13/2025,PET SMART,-181.60
04/27/2025,CHIPOTLE MEXICAN GRILL,-245.22
05/18/2025,ZELLE PAYMENT,3867.57
06/22/2025,PAYPAL TRANSFER,3214.45
07/28/2025,WHOLE FOODS MARKET,-66.52
08/11/2025,VENMO TRANSFER,-85.70
09/13/2025,CHEVRON,-64.56
10/03/2025,MARSHALLS,-14.92
11/12/2025,NETFLIX,-195.75
12/21/2025,DIRECT DEPOSIT,5298.45
01/07/2025,PUBLIX,-39.79
02/05/2025,WALGREENS,-141.86
03/07/2025,COMCAST CABLE,-192.19
04/06/2025,WALGREENS,-194.89
05/06/2025,TARGET,-145.51
06/10/2025,DRY CLEANERS,-100.37
07/23/2025,KROGER,-173.27
08/21/2025,GAS COMPANY,-212.87
09/20/2025,ALDI,-196.09
10/12/2025,PARKING METER,-19.10
11/21/2025,CHEVRON,-205.94
12/04/2025,PARKING METER,-159.63
01/27/2025,UBER EATS,-110.00
02/24/2025,ELECTRIC COMPANY,-154.75
03/18/2025,DOMINOS PIZZA,-110.02
04/24/2025,VENMO TRANSFER,-213.22
05/27/2025,ELECTRIC COMPANY,-220.64
06/08/2025,ALDI,-153.36
07/13/2025,BEST BUY,-213.04
08/06/2025,GOOGLE STORAGE,-199.86
09/11/2025,SAFEWAY,-175.89
10/09/2025,TJMAXX,-237.12
11/03/2025,CHEVRON,-123.17
12/25/2025,AUTOZONE,-162.18
01/16/2025,AMAZON PURCHASE,-25.08
02/08/2025,ATT WIRELESS,-77.94
03/19/2025,DOLLAR TREE,-133.67
04/14/2025,DOLLAR TREE,-84.04
05/23/2025,GAS COMPANY,-64.35
06/04/2025,VENMO TRANSFER,-31.65
07/18/2025,HOME DEPOT,-49.50
08/24/2025,KROGER,-244.20
09/17/2025,TARGET,-208.49
10/10/2025,HOME DEPOT,-76.96
11/23/2025,ELECTRIC COMPANY,-13.29
12/02/2025,CHIPOTLE MEXICAN GRILL,-160.19
01/25/2025,STARBUCKS COFFEE,-144.37
02/16/2025,APPLE.COM,-47.72
03/02/2025,AUTOZONE,-30.29
04/03/2025,NETFLIX,-145.10
05/22/2025,DIRECT DEPOSIT,4744.57
06/10/2025,VENDING MACHINE,-0.34
07/25/2025,SAFEWAY,-198.10
08/08/2025,DRY CLEANERS,-113.73
09/15/2025,KROGER,-247.53
10/10/2025,WHOLE FOODS MARKET,-153.19
11/24/2025,VENDING MACHINE,-0.71
12/09/2025,CVS PHARMACY,-61.49
01/18/2025,DIRECT DEPOSIT,3134.07
02/23/2025,WATER UTILITY,-10.09
03/10/2025,DOMINOS PIZZA,-19.65
04/08/2025,KROGER,-165.97
05/07/2025,MARSHALLS,-57.75
06/05/2025,UBER EATS,-19.71
07/06/2025,SAFEWAY,-187.74
08/19/2025,DUNKIN DONUTS,-32.84
09/23/2025,PET SMART,-235.78
10/17/2025,DUNKIN DONUTS,-21.95
11/02/2025,VENMO TRANSFER,-151.72
12/01/2025,ICLOUD STORAGE,-0.68
01/01/2025,ELECTRIC COMPANY,-144.91
02/25/2025,AUTOZONE,-130.70
03/15/2025,HOME DEPOT,-249.24
04/14/2025,BEST BUY,-242.33
05/16/2025,APPLE.COM,-81.62
06/04/2025,APPLE.COM,-104.09
07/16/2025,PET SMART,-203.76
08/18/2025,DIRECT DEPOSIT,2758.07
09/11/2025,GOOGLE STORAGE,-0.89
10/27/2025,MARSHALLS,-116.57
11/02/2025,PARKING METER,-156.41
12/16/2025,WHOLE FOODS MARKET,-52.48
01/18/2025,WATER UTILITY,-110.65
02/23/2025,AMAZON PURCHASE,-243.34
03/20/2025,CVS PHARMACY,-79.07
04/01/2025,SPOTIFY PREMIUM,-57.73
05/27/2025,DOMINOS PIZZA,-236.87
06/21/2025,BEST BUY,-233.30
07/10/2025,ELECTRIC COMPANY,-105.04
08/16/2025,ATT WIRELESS,-115.28
09/05/2025,SAFEWAY,-128.04
10/05/2025,ELECTRIC COMPANY,-193.62
11/28/2025,NORDSTROM,-68.26
12/01/2025,GAS COMPANY,-209.69
01/19/2025,BEST BUY,-216.58
02/15/2025,GOOGLE STORAGE,-84.45
03/25/2025,DOMINOS PIZZA,-233.35
04/28/2025,ATT WIRELESS,-143.81
05/08/2025,CHEVRON,-12.82
06/24/2025,DRY CLEANERS,-97.75
07/22/2025,UBER EATS,-124.84
08/02/2025,KROGER,-84.33
09/04/2025,DUNKIN DONUTS,-26.73
10/15/2025,DIRECT DEPOSIT,3139.91
11/21/2025,NETFLIX,-118.43
12/09/2025,PET SMART,-163.16
01/28/2025,MARSHALLS,-96.24
02/11/2025,BEST BUY,-218.35
03/02/2025,ATT WIRELESS,-158.53
04/10/2025,SPOTIFY PREMIUM,-109.62
05/04/2025,TARGET,-112.03
06/23/2025,AMAZON PURCHASE,-13.41
07/26/2025,ZELLE PAYMENT,2999.36
08/05/2025,CHEVRON,-142.35
09/26/2025,HOME DEPOT,-21.58
10/28/2025,ATT WIRELESS,-125.42
11/19/2025,DOMINOS PIZZA,-160.20
12/15/2025,STARBUCKS COFFEE,-224.93
01/15/2025,MARSHALLS,-41.18
02/15/2025,KROGER,-76.19
03/14/2025,DOMINOS PIZZA,-211.64
04/07/2025,AUTOZONE,-28.45
05/13/2025,ALDI,-75.38
06/23/2025,PET SMART,-70.07
07/19/2025,WHOLE FOODS MARKET,-227.83
08/24/2025,WATER UTILITY,-194.38
09/08/2025,GOOGLE STORAGE,-56.31
10/07/2025,CHIPOTLE MEXICAN GRILL,-157.81
11/21/2025,GAS COMPANY,-197.58
12/02/2025,CHIPOTLE MEXICAN GRILL,-24.35
01/10/2025,CHEVRON,-45.56
02/05/2025,PARKING METER,-133.65
03/09/2025,COMCAST CABLE,-228.68
04/16/2025,WATER UTILITY,-187.15
05/11/2025,DOMINOS PIZZA,-240.80
06/05/2025,MCDONALDS,-215.31
07/24/2025,PET SMART,-241.88
08/26/2025,SPOTIFY PREMIUM,-198.09
09/01/2025,WALGREENS,-114.79
10/22/2025,COMCAST CABLE,-146.97
11/27/2025,PARKING METER,-28.87
12/08/2025,PUBLIX,-221.29
01/18/2025,PUBLIX,-56.90
02/03/2025,DOMINOS PIZZA,-227.53
03/10/2025,WALGREENS,-36.66
04/02/2025,BEST BUY,-30.80
05/08/2025,CHIPOTLE MEXICAN GRILL,-98.38
06/12/2025,MARSHALLS,-105.94
07/24/2025,CHEVRON,-164.42
08/27/2025,CHEVRON,-234.89
09/09/2025,ZELLE PAYMENT,2369.08
10/15/2025,PARKING METER,-26.64
11/22/2025,GOOGLE STORAGE,-17.02
12/09/2025,WALGREENS,-237.35
01/27/2025,TRADER JOES,-161.14
02/20/2025,WHOLE FOODS MARKET,-197.13
03/08/2025,ALDI,-52.89
04/27/2025,TRADER JOES,-147.42
05/27/2025,APPLE.COM,-194.04
06/26/2025,STARBUCKS COFFEE,-70.76
07/05/2025,MARSHALLS,-64.16
08/06/2025,PARKING METER,-0.35
09/12/2025,ATT WIRELESS,-148.04
10/01/2025,WHOLE FOODS MARKET,-33.44
11/14/2025,NETFLIX,-120.11
12/25/2025,KROGER,-29.05
01/17/2025,PUBLIX,-12.75
02/26/2025,TJMAXX,-76.80
03/21/2025,WHOLE FOODS MARKET,-249.65
04/28/2025,TARGET,-123.59
05/15/2025,DIRECT DEPOSIT,2788.45
06/05/2025,ZELLE PAYMENT,3997.27
07/19/2025,VENMO TRANSFER,-96.46
08/20/2025,DOMINOS PIZZA,-127.38
09/14/2025,PARKING METER,-0.88
10/21/2025,DOLLAR TREE,-180.77
11/07/2025,MCDONALDS,-104.63
12/27/2025,CHEVRON,-182.94
01/11/2025,COMCAST CABLE,-94.83
02/05/2025,AUTOZONE,-18.65
03/27/2025,GOOGLE STORAGE,-0.32
04/24/2025,CHIPOTLE MEXICAN GRILL,-139.98
05/19/2025,DOLLAR TREE,-83.75
06/04/2025,PANERA BREAD,-217.29
07/24/2025,ZELLE PAYMENT,3901.64
08/12/2025,ICLOUD STORAGE,-0.41
09/22/2025,TARGET,-88.83
10/18/2025,ELECTRIC COMPANY,-144.38
11/26/2025,DOLLAR TREE,-243.69
12/27/2025,DOLLAR TREE,-8.51
01/22/2025,ELECTRIC COMPANY,-9.18
02/09/2025,GAS COMPANY,-230.54
03/12/2025,DIRECT DEPOSIT,3765.28
04/13/2025,PAYPAL TRANSFER,4032.69
05/01/2025,ICLOUD STORAGE,-0.41
06/14/2025,CVS PHARMACY,-93.77
07/24/2025,ALDI,-149.86
08/02/2025,PUBLIX,-14.34
09/03/2025,PANERA BREAD,-122.44
10/15/2025,TRADER JOES,-189.23
11/04/2025,WALGREENS,-72.25
12/22/2025,TJMAXX,-167.45
01/02/2025,SAFEWAY,-15.59
02/07/2025,TRADER JOES,-192.30
03/25/2025,VENMO TRANSFER,-31.76
04/16/2025,HOME DEPOT,-34.04
05/18/2025,NORDSTROM,-140.56
06/22/2025,NETFLIX,-100.47
07/24/2025,DIRECT DEPOSIT,3339.02
08/03/2025,ALDI,-108.46
09/13/2025,CHEVRON,-73.80
10/13/2025,ZELLE PAYMENT,2187.49
11/20/2025,PARKING METER,-23.86
12/28/2025,GOOGLE STORAGE,-0.69
01/17/2025,ZELLE PAYMENT,4483.22
02/08/2025,CVS PHARMACY,-20.94
03/21/2025,ICLOUD STORAGE,-0.39
04/25/2025,UBER EATS,-60.59
05/05/2025,HOME DEPOT,-151.39
06/25/2025,NETFLIX,-45.93
07/25/2025,DOMINOS PIZZA,-189.10
08/25/2025,ALDI,-161.46
09/20/2025,VENMO TRANSFER,-39.44
10/03/2025,GAS COMPANY,-199.49
11/19/2025,PAYPAL TRANSFER,1796.76
12/15/2025,WHOLE FOODS MARKET,-93.45
01/10/2025,DIRECT DEPOSIT,3960.03
02/17/2025,KROGER,-139.47
03/26/2025,SHELL GAS STATION,-113.53
04/26/2025,COSTCO WHOLESALE,-81.74
05/16/2025,WHOLE FOODS MARKET,-113.73
06/26/2025,APPLE.COM,-245.63
07/03/2025,HOME DEPOT,-11.71
08/23/2025,DUNKIN DONUTS,-131.97
09/20/2025,PARKING METER,-229.65
10/13/2025,APPLE.COM,-170.37
11/02/2025,APPLE.COM,-18.35
12/04/2025,DRY CLEANERS,-72.47
01/24/2025,SAFEWAY,-218.57
02/11/2025,VENDING MACHINE,-0.93
03/10/2025,PET SMART,-33.98
04/23/2025,GAS COMPANY,-140.61
05/21/2025,CHIPOTLE MEXICAN GRILL,-168.19
06/27/2025,TJMAXX,-25.18
07/22/2025,PARKING METER,-6.52
08/10/2025,TRADER JOES,-86.75
09/25/2025,MCDONALDS,-249.99
10/05/2025,DIRECT DEPOSIT,3530.76
11/18/2025,TJMAXX,-11.36
12/11/2025,PUBLIX,-34.50
01/13/2025,HOME DEPOT,-208.17
02/25/2025,CVS PHARMACY,-180.85
03/02/2025,ATT WIRELESS,-242.46
04/20/2025,DUNKIN DONUTS,-60.03
05/08/2025,AUTOZONE,-226.19
06/07/2025,ALDI,-246.14
07/15/2025,DRY CLEANERS,-126.72
08/14/2025,COSTCO WHOLESALE,-200.71
09/05/2025,WHOLE FOODS MARKET,-161.01
10/28/2025,TARGET,-178.43
11/17/2025,WATER UTILITY,-22.80
12/06/2025,NORDSTROM,-38.54
01/14/2025,VENDING MACHINE,-0.85
02/12/2025,CHEVRON,-15.21
03/17/2025,DRY CLEANERS,-248.64
04/12/2025,VENMO TRANSFER,-232.84
05/27/2025,APPLE.COM,-198.26
06/05/2025,ZELLE PAYMENT,4284.29
07/05/2025,AUTOZONE,-113.25
08/01/2025,AMAZON PURCHASE,-65.47
09/27/2025,SAFEWAY,-132.89
10/04/2025,ATT WIRELESS,-76.69
11/02/2025,PUBLIX,-115.36
12/04/2025,BEST BUY,-149.99
01/01/2025,ALDI,-62.00
02/05/2025,STARBUCKS COFFEE,-154.47
03/08/2025,HOME DEPOT,-166.76
04/03/2025,PARKING METER,-18.78
05/17/2025,NORDSTROM,-139.43
06/13/2025,SHELL GAS STATION,-159.65
07/12/2025,AMAZON PURCHASE,-90.56
08/03/2025,TARGET,-193.33
09/24/2025,CHIPOTLE MEXICAN GRILL,-13.00
10/18/2025,HOME DEPOT,-207.94
11/22/2025,AUTOZONE,-158.67
12/26/2025,DOMINOS PIZZA,-11.17
01/07/2025,DIRECT DEPOSIT,5043.16
02/11/2025,NORDSTROM,-100.76
03/27/2025,COMCAST CABLE,-11.08
04/21/2025,GOOGLE STORAGE,-215.81
05/02/2025,APPLE.COM,-69.76
06/26/2025,PET SMART,-186.34
07/13/2025,HOME DEPOT,-125.06
08/16/2025,TJMAXX,-68.15
09/03/2025,SPOTIFY PREMIUM,-108.79
10/27/2025,WATER UTILITY,-81.66
11/03/2025,WATER UTILITY,-78.01
12/20/2025,CVS PHARMACY,-173.06
01/12/2025,GOOGLE STORAGE,-154.48
02/14/2025,WHOLE FOODS MARKET,-20.61
03/21/2025,NORDSTROM,-200.67
04/22/2025,AMAZON PURCHASE,-37.41
05/20/2025,DUNKIN DONUTS,-10.63
06/03/2025,PARKING METER,-91.81
07/19/2025,DIRECT DEPOSIT,4216.25
08/12/2025,NETFLIX,-144.33
09/17/2025,VENMO TRANSFER,-163.09
10/08/2025,AMAZON PURCHASE,-184.45
11/16/2025,DOLLAR TREE,-31.20
12/25/2025,DUNKIN DONUTS,-55.21
01/20/2025,BEST BUY,-51.64
02/05/2025,DUNKIN DONUTS,-44.82
03/23/2025,SPOTIFY PREMIUM,-203.01
04/28/2025,GOOGLE STORAGE,-177.97
05/18/2025,GAS COMPANY,-213.14
06/23/2025,HOME DEPOT,-198.84
07/17/2025,COSTCO WHOLESALE,-198.43
08/08/2025,AMAZON PURCHASE,-91.50
09/19/2025,DOLLAR TREE,-34.18
10/03/2025,ZELLE PAYMENT,5498.38
11/24/2025,CHEVRON,-192.75
12/27/2025,CHIPOTLE MEXICAN GRILL,-243.15
01/21/2025,ZELLE PAYMENT,4220.44
02/12/2025,DOLLAR TREE,-160.67
03/06/2025,CHIPOTLE MEXICAN GRILL,-109.29
04/28/2025,DIRECT DEPOSIT,3572.41
05/10/2025,VENMO TRANSFER,-233.81
06/08/2025,TJMAXX,-223.94
07/28/2025,DIRECT DEPOSIT,4040.23
08/18/2025,GAS COMPANY,-154.38
09/03/2025,CVS PHARMACY,-148.77
10/19/2025,PUBLIX,-180.72
11/20/2025,ALDI,-12.22
12/28/2025,DIRECT DEPOSIT,5294.19
01/25/2025,TRADER JOES,-192.21
02/14/2025,AMAZON PURCHASE,-125.51
03/21/2025,GAS COMPANY,-121.77
04/26/2025,PET SMART,-75.76
05/03/2025,CVS PHARMACY,-111.02
06/16/2025,APPLE.COM,-152.45
07/11/2025,VENMO TRANSFER,-184.08
08/28/2025,PET SMART,-34.43
09/12/2025,TARGET,-81.14
10/15/2025,DUNKIN DONUTS,-63.48
11/04/2025,ZELLE PAYMENT,4956.66
12/14/2025,CVS PHARMACY,-203.74
01/19/2025,COSTCO WHOLESALE,-191.25
02/16/2025,DOMINOS PIZZA,-125.69
03/10/2025,SPOTIFY PREMIUM,-236.42
04/17/2025,ATT WIRELESS,-55.36
05/12/2025,ZELLE PAYMENT,3479.58
06/27/2025,AUTOZONE,-72.87
07/01/2025,PANERA BREAD,-35.22
08/09/2025,PET SMART,-92.75
09/13/2025,PAYPAL TRANSFER,2278.62
10/18/2025,DRY CLEANERS,-127.06
11/25/2025,PUBLIX,-170.74
12/04/2025,TARGET,-99.69
01/26/2025,DOLLAR TREE,-234.86
02/25/2025,SAFEWAY,-128.26
03/17/2025,DIRECT DEPOSIT,2048.15
04/11/2025,TJMAXX,-115.33
05/20/2025,CHIPOTLE MEXICAN GRILL,-83.34
06/20/2025,PET SMART,-247.67
07/24/2025,KROGER,-85.42
08/27/2025,BEST BUY,-177.77
09/10/2025,AMAZON PURCHASE,-93.35
10/22/2025,GOOGLE STORAGE,-0.68
11/26/2025,AMAZON PURCHASE,-150.03
12/09/2025,KROGER,-145.25
01/24/2025,ZELLE PAYMENT,2182.05
02/21/2025,DRY CLEANERS,-38.65
03/22/2025,ALDI,-237.15
04/04/2025,DUNKIN DONUTS,-79.80
