date,merchant,amount
09/03/2025,COMCAST CABLE,-129.63
09/03/2025,KROGER,-33.77
09/04/2025,ICLOUD STORAGE,-0.99
09/04/2025,CVS PHARMACY,-13.58
09/04/2025,AMAZON MARKETPLACE,-145.01
09/04/2025,SHELL GAS STATION,-54.72
09/05/2025,ADOBE CREATIVE CLOUD,-54.99
09/05/2025,DISNEY PLUS,-13.99
09/05/2025,NORDVPN,-3.99
09/05/2025,STARBUCKS COFFEE,-7.09
09/07/2025,SHELL GAS STATION,-43.89
09/07/2025,TARGET,-104.62
09/08/2025,COSTCO WHOLESALE,-100.84
09/08/2025,DIRECT DEPOSIT,4945.11
09/09/2025,AMAZON MARKETPLACE,-194.50
09/09/2025,WHOLE FOODS MARKET,-69.12
09/09/2025,NORDSTROM,-124.85
09/10/2025,MCDONALDS,-8.99
09/10/2025,WHOLE FOODS MARKET,-149.08
09/11/2025,ATT WIRELESS,-85.00
09/12/2025,COSTCO WHOLESALE,-65.69
09/12/2025,ELECTRIC COMPANY,-96.80
09/13/2025,HOME DEPOT,-121.58
09/14/2025,STARBUCKS COFFEE,-5.51
09/14/2025,ATT WIRELESS,-85.00
09/15/2025,BEST BUY,-94.83
09/16/2025,ELECTRIC COMPANY,-113.81
09/16/2025,ZELLE PAYMENT,355.32
09/17/2025,WALMART,-49.34
09/18/2025,UBER EATS,-40.74
09/19/2025,KROGER,-33.97
09/19/2025,KROGER,-51.06
09/20/2025,CHIPOTLE MEXICAN GRILL,-14.74
09/20/2025,HOME DEPOT,-128.85
09/20/2025,KROGER,-85.39
09/21/2025,NORDSTROM,-95.69
09/22/2025,PANERA BREAD,-15.79
09/24/2025,UBER EATS,-32.79
09/25/2025,COMCAST CABLE,-113.10
09/25/2025,CVS PHARMACY,-13.14
09/25/2025,WALMART,-84.49
09/25/2025,UBER EATS,-25.12
09/25/2025,DIRECT DEPOSIT,2726.06
09/25/2025,DIRECT DEPOSIT,3982.35
09/26/2025,AMAZON MARKETPLACE,-90.92
09/27/2025,HOME DEPOT,-109.95
09/27/2025,MCDONALDS,-9.54
09/28/2025,WALMART,-93.71
10/01/2025,DISNEY PLUS,-13.99
10/01/2025,GITHUB COPILOT,-10.00
10/02/2025,PLANET FITNESS,-49.99
10/02/2025,COSTCO WHOLESALE,-157.65
10/02/2025,WALMART,-48.31
10/03/2025,AWS AMAZON WEB SERVICES,-59.28
